Time,Temperature_Surface,Temperature_10cm,Temperature_50cm,Moisture_Surface,Moisture_10cm,Moisture_50cm,Water_Content_Surface,Water_Content_10cm,Water_Content_50cm,Nitrogen,Phosphorous,Potassium,pH,EC
0,15.993428306022466,16.349033154879002,12.824821725025618,0.10921924421226087,0.3309205116028053,0.47881201589886485,0.0214060705202426,0.14807190628732964,0.19086430108515473,65.30804312026699,19.82257904269167,52.872812506628925,7.07648510437162,0.6121538469023698
1,14.895604959215978,15.800477407849582,13.510401534686995,0.22435708346293776,0.4037410716094061,0.4773292945808073,0.0771242167104193,0.12594280939635843,0.180858712624811,71.4682540482089,25.417508054195206,117.31401610079897,5.538073819276793,0.6819147027458035
2,16.63959319242884,14.666450865296344,13.01737458360475,0.27897627881162557,0.4136434490558297,0.41021784136849926,0.09274930785316533,0.1797522926201108,0.16063963739832646,59.97379824271089,21.03928408432286,144.43012689658568,6.308204844180106,0.5726780073810682
3,18.562256385048588,13.769981672062547,13.656615475370243,0.5181580283486427,0.4554439852362467,0.4834954904149281,0.19630329496463433,0.17750311293746418,0.20769283071632524,11.150046180764605,31.656270704191794,130.20739895215775,6.427354185474469,0.5619151078387276
4,15.219717518576527,15.950958025042423,12.225607174267093,0.3928125537272455,0.3129456757018557,0.5366414540910872,0.15284201527667443,0.13932742449802993,0.24021371473704517,46.8915513494448,47.95767797192869,143.3791009942915,6.468673073827091,0.6591298531436078
5,15.391374073476104,15.656893666138366,14.486976896009958,0.2097531132792328,0.4733861440213196,0.43628839404616027,0.10064433503832082,0.20489309145562445,0.1859251042357356,26.885848501661695,18.43436764288193,91.5244187520703,6.569272716711117,0.54674917378636
6,19.18944260548913,16.57225595579223,14.429120752389139,0.39615645475652134,0.21218036496063258,0.5524241325525296,0.15203940112849448,0.11703044720663619,0.22300411719044727,45.94788454163852,45.01230746652621,81.33524127297417,6.765604264429094,0.5908482240836943
7,17.736949907299344,16.344734129066804,13.764783773025986,0.1949956958745771,0.3794448926719434,0.524388741054217,0.046285764214438994,0.17884703002120145,0.23971573182777534,69.60008472267788,18.274918914796686,70.52394591072805,6.462796710889867,0.6056438434390168
8,15.433838949262745,17.12847740805502,15.39475461745179,0.457995200157121,0.39077374946492466,0.4632883339014481,0.2059994369927516,0.1832409330381758,0.1790586040995488,56.10301671749945,17.285591812546738,97.76414133545617,6.270171338912448,0.654749745780083
9,17.62820829381474,14.913080978969816,15.826349523605089,0.3004403606329698,0.4791978415745537,0.49292351813310764,0.10343434158088713,0.22055254301314628,0.2177877940205812,72.96181732794865,42.2789192751482,96.85636816124722,6.2661612916068545,0.6465330318398133
